Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen
No,72,Two year,No,No internet service,25.2,Bank transfer (automatic),No,0
No,8,Month-to-month,No,No internet service,19.2,Mailed check,No,0
Yes,8,Month-to-month,Fiber optic,No,87.05,Electronic check,Yes,0
No,67,One year,No,No internet service,20.85,Bank transfer (automatic),Yes,0
No,69,Two year,No,No internet service,20.2,Bank transfer (automatic),No,0
No,44,One year,DSL,Yes,54.3,Electronic check,Yes,0
Yes,1,Month-to-month,DSL,No,44.4,Mailed check,No,0
Yes,1,Month-to-month,No,No internet service,20.85,Mailed check,Yes,1
No,26,Month-to-month,Fiber optic,No,79.3,Bank transfer (automatic),No,0
Yes,39,Month-to-month,Fiber optic,No,86.3,Mailed check,Yes,0
No,14,Month-to-month,Fiber optic,No,92.9,Electronic check,Yes,0
Yes,54,Month-to-month,Fiber optic,No,79.5,Electronic check,Yes,1
No,49,Month-to-month,Fiber optic,No,98.7,Electronic check,No,0
Yes,65,Two year,Fiber optic,Yes,108.65,Bank transfer (automatic),No,0
No,38,One year,DSL,Yes,69.0,Credit card (automatic),No,0
Yes,2,Month-to-month,Fiber optic,No,68.95,Electronic check,No,0
No,60,Two year,Fiber optic,Yes,110.6,Electronic check,Yes,0
No,69,Two year,Fiber optic,Yes,112.55,Bank transfer (automatic),Yes,0
No,70,One year,Fiber optic,Yes,106.15,Electronic check,Yes,0
No,4,Month-to-month,DSL,No,55.9,Electronic check,Yes,0
No,14,One year,DSL,No,54.25,Mailed check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,74.9,Electronic check,Yes,0
No,71,Two year,DSL,Yes,85.45,Bank transfer (automatic),No,0
No,68,Two year,Fiber optic,No,102.1,Bank transfer (automatic),Yes,0
Yes,20,Month-to-month,DSL,No,61.6,Mailed check,Yes,1
Yes,6,Month-to-month,Fiber optic,No,84.4,Electronic check,Yes,0
No,71,Two year,Fiber optic,Yes,99.4,Electronic check,Yes,1
No,66,Two year,No,No internet service,25.3,Credit card (automatic),Yes,0
No,4,Month-to-month,DSL,No,50.55,Bank transfer (automatic),Yes,0
No,55,One year,No,No internet service,19.1,Bank transfer (automatic),No,0
No,72,Two year,No,No internet service,24.1,Credit card (automatic),No,0
No,18,Month-to-month,No,No internet service,20.45,Mailed check,No,0
No,25,Month-to-month,Fiber optic,Yes,95.7,Credit card (automatic),Yes,0
No,40,One year,DSL,Yes,80.75,Mailed check,Yes,0
No,71,Two year,No,No internet service,24.25,Credit card (automatic),Yes,0
Yes,29,Month-to-month,DSL,No,25.1,Credit card (automatic),Yes,0
No,29,One year,Fiber optic,No,90.1,Bank transfer (automatic),No,1
No,61,Two year,Fiber optic,Yes,115.1,Credit card (automatic),No,0
No,2,Month-to-month,No,No internet service,20.1,Bank transfer (automatic),No,0
No,56,Two year,DSL,No,59.8,Bank transfer (automatic),Yes,0
No,13,Month-to-month,Fiber optic,No,78.3,Credit card (automatic),Yes,0
No,9,Month-to-month,Fiber optic,No,75.5,Credit card (automatic),No,1
No,7,Two year,DSL,Yes,49.65,Credit card (automatic),No,0
Yes,2,Month-to-month,Fiber optic,No,93.85,Electronic check,Yes,1
No,41,One year,Fiber optic,Yes,89.55,Electronic check,Yes,0
No,47,Two year,DSL,Yes,59.6,Bank transfer (automatic),No,1
No,30,One year,No,No internet service,19.7,Mailed check,No,0
Yes,35,Month-to-month,Fiber optic,No,99.05,Electronic check,Yes,1
No,54,One year,DSL,Yes,44.1,Bank transfer (automatic),No,0
Yes,17,Month-to-month,Fiber optic,No,100.45,Credit card (automatic),Yes,1
No,72,Two year,Fiber optic,Yes,110.9,Credit card (automatic),No,0
No,24,Month-to-month,Fiber optic,Yes,89.25,Electronic check,Yes,0
No,37,One year,DSL,No,64.65,Bank transfer (automatic),No,0
No,48,Two year,No,No internet service,20.2,Bank transfer (automatic),No,0
No,69,Two year,Fiber optic,Yes,104.0,Electronic check,No,0
No,31,Month-to-month,DSL,Yes,66.4,Credit card (automatic),Yes,0
No,38,Two year,DSL,Yes,85.4,Bank transfer (automatic),Yes,0
No,37,Month-to-month,DSL,No,40.2,Credit card (automatic),Yes,0
No,4,Month-to-month,Fiber optic,No,70.2,Electronic check,Yes,1
No,46,One year,Fiber optic,Yes,103.15,Electronic check,Yes,0
No,21,Month-to-month,No,No internet service,20.0,Mailed check,No,0
No,39,Month-to-month,Fiber optic,No,106.4,Electronic check,Yes,0
No,17,One year,DSL,Yes,79.85,Credit card (automatic),No,0
No,54,Two year,DSL,No,65.3,Bank transfer (automatic),Yes,0
No,9,Month-to-month,DSL,No,50.85,Mailed check,No,0
Yes,1,Month-to-month,DSL,No,45.95,Mailed check,No,0
No,3,Month-to-month,DSL,Yes,55.8,Mailed check,Yes,0
No,70,Two year,Fiber optic,Yes,111.95,Credit card (automatic),Yes,0
Yes,54,One year,Fiber optic,Yes,105.4,Credit card (automatic),Yes,0
Yes,53,Month-to-month,Fiber optic,No,101.9,Electronic check,Yes,1
No,30,One year,No,No internet service,19.55,Bank transfer (automatic),No,0
No,48,One year,Fiber optic,No,99.0,Electronic check,Yes,1
No,62,Two year,No,No internet service,20.05,Credit card (automatic),No,0
Yes,1,Month-to-month,DSL,No,45.3,Mailed check,Yes,0
Yes,65,One year,Fiber optic,No,106.25,Electronic check,Yes,1
No,11,Month-to-month,Fiber optic,No,78.1,Credit card (automatic),Yes,1
No,66,One year,No,No internet service,20.35,Electronic check,Yes,0
Yes,3,Month-to-month,Fiber optic,No,79.4,Electronic check,Yes,1
No,39,Month-to-month,DSL,Yes,40.6,Electronic check,Yes,0
No,4,Month-to-month,DSL,No,35.0,Mailed check,No,0
No,12,Month-to-month,DSL,Yes,74.15,Electronic check,Yes,0
No,32,Month-to-month,DSL,No,35.15,Electronic check,Yes,0
Yes,24,Month-to-month,Fiber optic,No,98.75,Electronic check,Yes,0
No,70,One year,Fiber optic,No,95.0,Bank transfer (automatic),Yes,0
No,72,Two year,No,No internet service,20.25,Credit card (automatic),No,0
Yes,15,Month-to-month,No,No internet service,25.4,Credit card (automatic),Yes,0
No,17,Month-to-month,DSL,No,74.55,Mailed check,No,0
Yes,8,Month-to-month,Fiber optic,Yes,103.35,Bank transfer (automatic),Yes,0
No,8,One year,No,No internet service,24.4,Mailed check,No,0
No,25,One year,DSL,No,38.1,Credit card (automatic),Yes,0
No,10,Month-to-month,No,No internet service,20.05,Credit card (automatic),Yes,0
No,1,Month-to-month,No,No internet service,20.05,Mailed check,No,0
No,72,Two year,No,No internet service,26.45,Credit card (automatic),No,0
No,43,One year,DSL,Yes,71.9,Credit card (automatic),Yes,0
No,72,Two year,DSL,Yes,83.7,Bank transfer (automatic),Yes,0
No,9,One year,DSL,No,48.6,Mailed check,No,0
No,50,One year,Fiber optic,Yes,99.4,Electronic check,No,0
No,69,One year,DSL,Yes,73.7,Credit card (automatic),No,0
No,15,One year,DSL,No,64.85,Mailed check,No,0
No,26,One year,DSL,No,60.7,Mailed check,No,1
No,35,Month-to-month,No,No internet service,25.75,Electronic check,Yes,0
No,21,One year,DSL,No,71.7,Bank transfer (automatic),No,1
No,52,Two year,DSL,Yes,89.25,Mailed check,Yes,0
No,26,Month-to-month,DSL,No,45.45,Electronic check,No,0
No,71,Two year,DSL,Yes,47.05,Electronic check,Yes,0
Yes,33,Month-to-month,Fiber optic,No,68.25,Electronic check,No,0
No,66,Two year,DSL,Yes,65.85,Mailed check,No,0
No,60,Two year,No,No internet service,19.85,Bank transfer (automatic),No,0
No,72,Two year,No,No internet service,24.65,Bank transfer (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,84.5,Electronic check,No,0
No,38,One year,Fiber optic,Yes,95.0,Bank transfer (automatic),No,0
Yes,61,One year,Fiber optic,No,104.4,Credit card (automatic),Yes,1
No,17,Month-to-month,Fiber optic,No,78.9,Electronic check,No,0
No,46,Month-to-month,Fiber optic,No,72.8,Bank transfer (automatic),No,0
No,5,Month-to-month,DSL,No,53.8,Electronic check,Yes,0
No,34,One year,Fiber optic,No,78.95,Bank transfer (automatic),Yes,0
No,17,Month-to-month,Fiber optic,No,80.05,Bank transfer (automatic),No,0
No,16,Month-to-month,DSL,No,54.55,Bank transfer (automatic),Yes,1
Yes,8,Month-to-month,Fiber optic,No,75.75,Electronic check,Yes,1
No,48,Month-to-month,Fiber optic,No,111.45,Bank transfer (automatic),Yes,0
No,60,Two year,DSL,Yes,59.85,Credit card (automatic),No,0
Yes,25,Month-to-month,Fiber optic,No,79.85,Bank transfer (automatic),Yes,0
No,72,Two year,Fiber optic,Yes,108.1,Bank transfer (automatic),Yes,1
No,66,One year,Fiber optic,Yes,102.85,Credit card (automatic),Yes,1
No,40,Month-to-month,DSL,Yes,71.35,Mailed check,Yes,0
Yes,70,One year,DSL,No,45.25,Electronic check,Yes,1
No,23,One year,No,No internet service,20.15,Bank transfer (automatic),No,0
Yes,37,Month-to-month,Fiber optic,No,85.7,Electronic check,Yes,1
No,50,Two year,DSL,Yes,69.5,Bank transfer (automatic),No,0
No,60,Two year,DSL,No,60.5,Bank transfer (automatic),No,0
No,8,Month-to-month,No,No internet service,20.45,Credit card (automatic),Yes,0
Yes,43,Month-to-month,Fiber optic,No,103.0,Electronic check,Yes,1
No,10,Month-to-month,DSL,Yes,62.25,Bank transfer (automatic),No,0
No,12,Month-to-month,Fiber optic,No,105.3,Electronic check,Yes,0
No,37,Month-to-month,Fiber optic,No,70.35,Mailed check,Yes,0
No,55,Month-to-month,Fiber optic,Yes,79.4,Electronic check,No,0
No,57,One year,DSL,Yes,59.3,Mailed check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,69.95,Electronic check,No,0
Yes,13,Month-to-month,Fiber optic,No,90.5,Electronic check,Yes,1
No,43,One year,DSL,Yes,85.1,Credit card (automatic),No,0
No,61,Two year,No,No internet service,19.75,Mailed check,No,0
No,3,Month-to-month,DSL,No,69.15,Bank transfer (automatic),Yes,0
No,67,Two year,Fiber optic,No,93.15,Electronic check,Yes,0
No,71,Two year,No,No internet service,23.85,Mailed check,No,0
No,58,Two year,DSL,Yes,71.6,Credit card (automatic),No,0
No,22,One year,DSL,Yes,78.65,Mailed check,Yes,0
No,57,Two year,DSL,Yes,89.55,Mailed check,No,0
No,67,Two year,No,No internet service,19.8,Mailed check,Yes,0
No,36,Month-to-month,No,No internet service,19.2,Bank transfer (automatic),No,0
No,72,Two year,DSL,Yes,68.4,Bank transfer (automatic),No,0
No,72,Two year,Fiber optic,No,78.5,Bank transfer (automatic),No,1
No,25,Month-to-month,DSL,Yes,76.15,Credit card (automatic),Yes,0
No,12,Month-to-month,DSL,No,49.85,Bank transfer (automatic),Yes,0
No,70,Two year,Fiber optic,Yes,114.95,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,74.5,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,102.45,Electronic check,Yes,0
No,21,Month-to-month,Fiber optic,No,103.85,Mailed check,No,0
No,62,Two year,Fiber optic,No,101.15,Bank transfer (automatic),Yes,0
No,22,One year,DSL,No,65.25,Bank transfer (automatic),No,0
No,65,One year,Fiber optic,No,95.5,Electronic check,Yes,0
No,38,One year,No,No internet service,19.3,Mailed check,No,0
No,44,Two year,DSL,No,54.3,Bank transfer (automatic),No,0
No,6,Two year,No,No internet service,19.55,Mailed check,No,0
No,67,Two year,DSL,Yes,69.2,Credit card (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,79.0,Electronic check,No,0
No,72,One year,Fiber optic,No,104.95,Electronic check,Yes,0
No,40,Two year,No,No internet service,20.6,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,69.25,Electronic check,Yes,1
No,11,Month-to-month,Fiber optic,No,70.2,Electronic check,Yes,1
Yes,65,Month-to-month,Fiber optic,No,105.5,Electronic check,Yes,0
No,70,Two year,Fiber optic,Yes,104.3,Bank transfer (automatic),Yes,0
Yes,10,Month-to-month,Fiber optic,No,94.9,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,100.8,Electronic check,Yes,1
No,41,One year,No,No internet service,19.5,Bank transfer (automatic),No,0
No,24,Month-to-month,DSL,Yes,70.3,Credit card (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,Yes,94.2,Electronic check,Yes,0
No,4,Month-to-month,No,No internet service,20.85,Mailed check,No,0
No,17,Month-to-month,Fiber optic,No,94.8,Electronic check,Yes,1
No,68,Two year,No,No internet service,25.75,Mailed check,No,0
Yes,4,Month-to-month,Fiber optic,No,88.45,Electronic check,Yes,0
No,14,One year,DSL,Yes,59.1,Credit card (automatic),No,0
No,63,Month-to-month,Fiber optic,No,102.4,Electronic check,Yes,0
No,43,Month-to-month,DSL,Yes,34.0,Bank transfer (automatic),No,0
No,66,Two year,DSL,Yes,84.0,Mailed check,Yes,0
Yes,8,Month-to-month,Fiber optic,No,101.35,Electronic check,No,1
No,4,Month-to-month,No,No internet service,19.0,Mailed check,No,0
Yes,2,Month-to-month,Fiber optic,No,74.85,Mailed check,Yes,1
Yes,1,Month-to-month,No,No internet service,19.75,Mailed check,No,0
Yes,9,Month-to-month,DSL,No,48.75,Electronic check,Yes,0
Yes,18,Month-to-month,Fiber optic,Yes,99.75,Bank transfer (automatic),No,1
No,32,Month-to-month,Fiber optic,Yes,87.65,Bank transfer (automatic),No,0
No,44,Two year,No,No internet service,19.55,Bank transfer (automatic),No,0
Yes,1,Month-to-month,DSL,No,25.3,Electronic check,Yes,0
No,1,Month-to-month,No,No internet service,20.9,Mailed check,No,0
No,24,One year,No,No internet service,20.45,Credit card (automatic),No,0
No,50,One year,DSL,Yes,44.45,Bank transfer (automatic),Yes,0
No,51,One year,Fiber optic,Yes,111.5,Electronic check,Yes,0
No,3,Month-to-month,Fiber optic,No,69.85,Electronic check,Yes,0
No,1,Month-to-month,DSL,Yes,54.5,Electronic check,No,0
No,53,One year,DSL,Yes,77.4,Bank transfer (automatic),No,0
Yes,47,Month-to-month,Fiber optic,No,85.2,Bank transfer (automatic),Yes,1
Yes,10,Month-to-month,Fiber optic,No,85.6,Electronic check,Yes,0
Yes,1,Month-to-month,DSL,No,50.45,Mailed check,No,0
No,40,One year,Fiber optic,Yes,103.75,Credit card (automatic),Yes,1
No,61,Month-to-month,Fiber optic,No,89.2,Mailed check,No,0
No,1,Month-to-month,DSL,No,45.15,Mailed check,No,0
Yes,46,Two year,DSL,Yes,54.35,Credit card (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,69.65,Electronic check,Yes,0
No,72,Two year,Fiber optic,Yes,112.25,Bank transfer (automatic),Yes,0
No,11,Month-to-month,No,No internet service,20.45,Electronic check,Yes,0
No,25,Two year,No,No internet service,20.1,Mailed check,No,0
No,18,Month-to-month,Fiber optic,Yes,93.9,Bank transfer (automatic),No,1
No,62,Two year,No,No internet service,20.45,Bank transfer (automatic),No,0
No,55,One year,DSL,No,45.05,Bank transfer (automatic),No,0
Yes,22,Month-to-month,Fiber optic,Yes,90.0,Electronic check,Yes,0
No,55,Month-to-month,Fiber optic,No,94.45,Credit card (automatic),Yes,0
No,28,One year,Fiber optic,No,100.2,Electronic check,No,0
Yes,3,Month-to-month,DSL,No,41.15,Electronic check,Yes,1
No,62,Two year,DSL,Yes,43.7,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,90.55,Electronic check,Yes,0
No,13,Two year,No,No internet service,20.0,Credit card (automatic),No,0
No,22,Month-to-month,Fiber optic,Yes,89.05,Electronic check,Yes,0
No,24,Month-to-month,Fiber optic,No,80.5,Electronic check,Yes,1
Yes,41,Month-to-month,Fiber optic,No,113.2,Electronic check,Yes,1
No,17,One year,No,No internet service,19.9,Bank transfer (automatic),No,0
No,5,Month-to-month,DSL,No,50.95,Credit card (automatic),Yes,0
No,45,Two year,DSL,No,53.3,Credit card (automatic),No,0
No,12,One year,DSL,No,78.85,Electronic check,No,0
No,1,Month-to-month,No,No internet service,19.65,Bank transfer (automatic),Yes,0
No,60,Two year,No,No internet service,19.25,Credit card (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,90.55,Electronic check,No,0
Yes,4,Month-to-month,Fiber optic,Yes,98.1,Bank transfer (automatic),Yes,0
No,14,Month-to-month,Fiber optic,No,70.2,Electronic check,No,0
No,51,One year,No,No internet service,19.85,Bank transfer (automatic),Yes,0
No,1,Month-to-month,No,No internet service,19.4,Mailed check,Yes,0
No,23,Month-to-month,Fiber optic,Yes,84.4,Mailed check,No,0
No,72,Two year,DSL,Yes,86.6,Bank transfer (automatic),No,0
No,1,Month-to-month,No,No internet service,19.15,Mailed check,No,0
No,30,One year,No,No internet service,20.7,Credit card (automatic),No,0
No,69,Two year,DSL,No,59.75,Bank transfer (automatic),Yes,0
No,1,Month-to-month,No,No internet service,20.2,Bank transfer (automatic),No,0
No,5,One year,No,No internet service,19.55,Electronic check,No,0
No,1,Month-to-month,DSL,No,49.75,Electronic check,No,0
Yes,2,Month-to-month,Fiber optic,No,82.0,Electronic check,Yes,0
No,13,Month-to-month,Fiber optic,Yes,100.75,Electronic check,No,0
Yes,71,Two year,Fiber optic,Yes,108.6,Credit card (automatic),Yes,0
No,8,Month-to-month,DSL,No,59.25,Electronic check,Yes,0
No,7,Month-to-month,DSL,Yes,64.3,Bank transfer (automatic),No,0
No,25,One year,No,No internet service,19.6,Electronic check,No,0
No,32,Two year,No,No internet service,20.5,Mailed check,No,0
Yes,11,Month-to-month,Fiber optic,Yes,90.15,Electronic check,No,0
No,2,Month-to-month,Fiber optic,No,70.35,Electronic check,Yes,0
No,13,Two year,DSL,Yes,40.55,Mailed check,No,0
No,72,Two year,Fiber optic,Yes,93.05,Bank transfer (automatic),Yes,1
No,39,One year,DSL,Yes,40.3,Bank transfer (automatic),Yes,0
No,6,Month-to-month,Fiber optic,No,69.8,Electronic check,Yes,0
No,31,One year,No,No internet service,20.1,Credit card (automatic),No,0
No,59,Two year,No,No internet service,19.5,Credit card (automatic),No,0
Yes,5,Month-to-month,Fiber optic,No,90.8,Electronic check,Yes,0
No,27,One year,DSL,Yes,80.85,Mailed check,No,0
No,8,Two year,No,No internet service,19.5,Bank transfer (automatic),No,0
No,39,One year,DSL,Yes,45.05,Bank transfer (automatic),No,0
No,4,Month-to-month,DSL,No,50.7,Electronic check,No,0
No,51,Two year,DSL,Yes,34.2,Bank transfer (automatic),No,0
Yes,4,Month-to-month,Fiber optic,No,74.65,Electronic check,Yes,0
No,3,Month-to-month,No,No internet service,23.6,Mailed check,Yes,0
No,59,Month-to-month,Fiber optic,No,83.25,Electronic check,Yes,0
No,37,Two year,DSL,Yes,65.6,Bank transfer (automatic),No,0
No,7,Month-to-month,DSL,No,64.95,Electronic check,Yes,1
No,6,Month-to-month,DSL,Yes,50.95,Credit card (automatic),No,0
No,7,One year,No,No internet service,20.25,Mailed check,No,0
No,9,Month-to-month,Fiber optic,No,75.85,Electronic check,Yes,0
No,4,One year,No,No internet service,23.9,Electronic check,No,0
No,46,Month-to-month,Fiber optic,No,80.0,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,DSL,No,45.75,Electronic check,No,0
Yes,64,Two year,DSL,Yes,70.2,Credit card (automatic),Yes,1
No,72,Two year,Fiber optic,Yes,114.45,Credit card (automatic),No,0
No,28,Month-to-month,DSL,Yes,64.45,Bank transfer (automatic),No,1
No,9,Month-to-month,Fiber optic,No,79.75,Electronic check,Yes,0
No,1,Month-to-month,DSL,No,24.4,Electronic check,Yes,0
No,19,One year,No,No internet service,18.8,Mailed check,No,0
No,71,Two year,Fiber optic,Yes,95.5,Credit card (automatic),Yes,1
Yes,2,Month-to-month,DSL,No,47.8,Electronic check,Yes,0
No,2,Month-to-month,Fiber optic,No,100.2,Electronic check,No,0
Yes,3,Month-to-month,Fiber optic,No,70.3,Electronic check,Yes,0
No,18,Month-to-month,DSL,Yes,55.2,Credit card (automatic),No,0
Yes,3,Month-to-month,DSL,No,35.15,Electronic check,Yes,0
No,2,Month-to-month,DSL,No,30.25,Mailed check,Yes,0
No,22,Month-to-month,Fiber optic,No,100.65,Electronic check,Yes,0
Yes,9,Month-to-month,Fiber optic,No,89.45,Electronic check,No,0
No,2,Month-to-month,Fiber optic,No,70.15,Electronic check,Yes,0
Yes,17,Month-to-month,Fiber optic,No,81.5,Bank transfer (automatic),No,1
No,20,Month-to-month,DSL,Yes,55.0,Credit card (automatic),Yes,0
No,4,Month-to-month,DSL,No,45.25,Mailed check,No,0
No,71,Two year,DSL,Yes,90.55,Bank transfer (automatic),No,0
No,44,Month-to-month,Fiber optic,No,84.8,Credit card (automatic),Yes,0
No,3,Month-to-month,Fiber optic,No,94.9,Electronic check,No,0
No,72,Two year,DSL,Yes,66.75,Credit card (automatic),No,0
No,54,Two year,DSL,Yes,91.3,Credit card (automatic),No,0
No,18,Month-to-month,Fiber optic,No,74.8,Electronic check,No,0
No,26,Month-to-month,Fiber optic,No,93.6,Electronic check,Yes,1
No,53,One year,Fiber optic,Yes,91.15,Electronic check,Yes,0
No,3,Month-to-month,DSL,No,57.55,Electronic check,No,0
No,25,Month-to-month,No,No internet service,20.6,Mailed check,No,0
No,72,Two year,DSL,Yes,89.8,Credit card (automatic),No,0
No,53,One year,Fiber optic,Yes,111.8,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,71.0,Electronic check,Yes,1
Yes,18,Month-to-month,DSL,No,49.55,Mailed check,Yes,0
No,10,Month-to-month,Fiber optic,No,79.85,Mailed check,Yes,0
Yes,7,Month-to-month,Fiber optic,No,75.45,Mailed check,No,0
No,57,Two year,No,No internet service,19.6,Bank transfer (automatic),Yes,0
No,8,Month-to-month,DSL,No,29.25,Mailed check,Yes,0
No,33,Month-to-month,Fiber optic,No,93.35,Electronic check,Yes,0
No,64,Month-to-month,Fiber optic,No,103.5,Bank transfer (automatic),Yes,1
No,9,Month-to-month,Fiber optic,Yes,95.9,Bank transfer (automatic),Yes,0
No,60,Month-to-month,Fiber optic,No,80.95,Electronic check,Yes,1
No,54,Two year,No,No internet service,19.65,Credit card (automatic),No,0
No,46,One year,Fiber optic,Yes,90.95,Bank transfer (automatic),No,0
Yes,1,Month-to-month,No,No internet service,20.9,Mailed check,No,0
No,6,One year,No,No internet service,20.6,Mailed check,No,0
No,1,Month-to-month,Fiber optic,No,80.55,Electronic check,Yes,0
No,1,Month-to-month,DSL,No,49.8,Credit card (automatic),Yes,0
No,48,One year,DSL,Yes,73.85,Bank transfer (automatic),Yes,0
No,45,Two year,Fiber optic,Yes,109.75,Bank transfer (automatic),Yes,0
No,37,One year,No,No internet service,19.85,Bank transfer (automatic),Yes,0
No,11,Month-to-month,DSL,No,60.25,Bank transfer (automatic),No,1
No,55,Month-to-month,Fiber optic,No,90.4,Credit card (automatic),Yes,0
Yes,12,Month-to-month,Fiber optic,No,99.45,Electronic check,Yes,1
No,39,One year,No,No internet service,25.45,Bank transfer (automatic),No,0
No,38,Month-to-month,DSL,Yes,69.95,Electronic check,No,0
Yes,15,Month-to-month,DSL,No,64.65,Bank transfer (automatic),Yes,0
No,45,Month-to-month,Fiber optic,No,86.1,Electronic check,Yes,1
No,72,Two year,No,No internet service,20.05,Bank transfer (automatic),No,0
No,1,Month-to-month,Fiber optic,No,70.35,Electronic check,Yes,0
No,16,Two year,No,No internet service,18.95,Credit card (automatic),No,0
No,53,One year,DSL,No,61.1,Electronic check,Yes,0
Yes,13,Month-to-month,DSL,No,48.75,Bank transfer (automatic),Yes,0
No,71,One year,DSL,Yes,72.9,Bank transfer (automatic),Yes,1
No,60,One year,No,No internet service,24.15,Bank transfer (automatic),No,0
No,71,One year,Fiber optic,No,86.7,Bank transfer (automatic),Yes,1
No,14,Two year,No,No internet service,18.8,Mailed check,No,0
Yes,7,Month-to-month,Fiber optic,No,89.35,Credit card (automatic),Yes,0
Yes,50,Month-to-month,Fiber optic,No,95.7,Electronic check,Yes,1
No,69,Two year,No,No internet service,26.0,Bank transfer (automatic),Yes,0
Yes,49,Month-to-month,Fiber optic,No,90.85,Credit card (automatic),Yes,1
No,37,Month-to-month,Fiber optic,No,92.95,Electronic check,Yes,0
Yes,43,One year,Fiber optic,Yes,100.0,Electronic check,Yes,0
Yes,4,Month-to-month,Fiber optic,No,85.65,Electronic check,Yes,0
No,7,Two year,DSL,No,38.55,Mailed check,No,0
No,57,Two year,No,No internet service,20.55,Credit card (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,79.15,Electronic check,Yes,0
Yes,8,Month-to-month,Fiber optic,No,80.65,Credit card (automatic),Yes,1
No,61,Two year,DSL,Yes,73.8,Bank transfer (automatic),Yes,0
No,2,Month-to-month,DSL,No,51.55,Mailed check,No,0
No,46,Month-to-month,DSL,No,69.1,Credit card (automatic),Yes,0
No,64,Two year,No,No internet service,24.05,Mailed check,Yes,0
No,72,Two year,DSL,Yes,89.85,Bank transfer (automatic),Yes,1
Yes,16,Month-to-month,Fiber optic,No,74.3,Credit card (automatic),Yes,1
Yes,1,Month-to-month,Fiber optic,No,84.65,Mailed check,Yes,0
No,25,Month-to-month,Fiber optic,No,69.75,Electronic check,No,0
No,64,Two year,DSL,Yes,86.4,Credit card (automatic),Yes,0
No,24,One year,DSL,No,56.25,Credit card (automatic),Yes,0
Yes,14,Month-to-month,Fiber optic,No,86.1,Electronic check,Yes,0
No,15,Month-to-month,Fiber optic,No,89.0,Credit card (automatic),No,1
Yes,9,Month-to-month,DSL,No,45.4,Electronic check,Yes,0
No,69,Two year,No,No internet service,20.3,Credit card (automatic),No,1
No,50,Two year,Fiber optic,No,105.05,Credit card (automatic),Yes,1
No,12,Month-to-month,Fiber optic,No,84.6,Electronic check,Yes,0
Yes,19,Month-to-month,Fiber optic,No,73.2,Electronic check,Yes,0
No,69,Two year,Fiber optic,Yes,110.5,Bank transfer (automatic),Yes,0
No,66,Month-to-month,DSL,No,67.45,Bank transfer (automatic),Yes,0
No,5,Month-to-month,DSL,No,44.8,Mailed check,No,0
No,3,Month-to-month,No,No internet service,19.95,Mailed check,No,0
No,69,Two year,DSL,Yes,74.1,Credit card (automatic),No,1
Yes,12,Month-to-month,Fiber optic,No,96.05,Electronic check,Yes,0
No,3,Month-to-month,No,No internet service,19.65,Mailed check,Yes,0
No,17,Two year,No,No internet service,25.15,Mailed check,Yes,0
No,57,Month-to-month,Fiber optic,No,89.85,Electronic check,Yes,1
Yes,38,Month-to-month,Fiber optic,Yes,84.25,Credit card (automatic),Yes,0
No,12,Month-to-month,No,No internet service,20.05,Credit card (automatic),No,0
Yes,24,Month-to-month,Fiber optic,No,76.1,Electronic check,Yes,1
No,63,Month-to-month,Fiber optic,No,109.4,Bank transfer (automatic),Yes,1
No,1,Month-to-month,DSL,No,25.15,Mailed check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,69.65,Electronic check,No,0
Yes,36,One year,DSL,Yes,65.4,Mailed check,Yes,0
No,18,Month-to-month,No,No internet service,20.05,Mailed check,No,0
No,58,One year,Fiber optic,Yes,105.05,Bank transfer (automatic),Yes,0
Yes,42,Month-to-month,Fiber optic,No,95.25,Bank transfer (automatic),Yes,0
Yes,5,Month-to-month,Fiber optic,No,96.25,Electronic check,Yes,0
Yes,63,Month-to-month,Fiber optic,No,100.55,Electronic check,Yes,0
No,50,One year,Fiber optic,No,108.25,Electronic check,Yes,0
Yes,6,Month-to-month,DSL,No,55.3,Mailed check,Yes,0
Yes,1,Month-to-month,No,No internet service,19.5,Mailed check,No,0
No,27,Two year,No,No internet service,19.55,Bank transfer (automatic),No,0
No,6,Month-to-month,DSL,No,45.65,Mailed check,No,0
No,10,Two year,No,No internet service,25.7,Bank transfer (automatic),No,0
